A speadsheet containing data from some lifts I have been doing consistently over the years.,,,,,,,,,,Brzycki formula (used to give a uniform result for all data entries :,1RM = w x 36 (37 - r),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have opened the original google sheets as excel files and copy pasted the raw data over.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,Jun 27 pull @ P,Jun 28 legs @ P,Jun 29 push @ P,Jun 30 pull @ P,July 4 legs @ P,July 5 push @ ed,July 7 pull @ K,July 8 legs @ K,July 9 push @ K,July 10 pull @ P,July 13 legs @ P,July 14 push @ K,July 16 pull @ P,July 17 legs @ K,July 19 push @ K,July 20 pull @ K,July 23 legs @ K,3 Reps per set->,July 28 push @ K,July 30 pull @ P,Aug 1 legs @ P,Aug 2 push @ K,Aug 4 pull @ K,Aug 6 legs @ P,Aug 8 push @ P,Aug 9 pull @K,Aug 10 legs @ K,Aug 12 push @ Wv,Aug 15 push @ D,Aug 16 pull @ P,Aug 17 legs @ K,Aug 18 push @ K,Aug 20 pull @ P,Aug 22 legs @ K,Aug 23 push @ K,Aug 25 pull @ K,Aug 29 legs @ K,Aug 30 push,Aug 31 pull ,Sept 1 legs,Sept 3 push,Sept 5 pull,Sept 6 legs,Sept 7 push ,Sept 8 pull,Sept 9 legs,Sept 12 push,Sept 13 pull,Sept 15 legs,Sept 16 push,Sept 22 pull,Sept 23 legs,Sept 24 push,Sept 25 pull,Sept 27 legs @ wv,Sept 29 push,Sept 30 pull,Oct 1 legs ,Oct 2 push,Oct 5 pull,Oct 6 legs,Oct 8 push,Oct 9 pull,Oct 10 legs,Oct 11 push,Oct 13 pull,Oct 15 legs,Oct 16 push,Oct 17 pull,Oct 18 legs,Oct 20 push,Oct 22 pull,Oct 24 lega,Oct 25 pull,Oct 26 push,Oct 27 pull,Oct 28 push ,Oct 29 legs,Oct 30 pull,Oct 31 push,Nov 2 legs,Nov 3 pull,Nov 4 push,Nov 6 legs,Nov 7 pull,Nov 8 push,Nov 9 legs,Nov 10 push,Nov 11 pull,Nov 13 legs,Nov 14 push,Nov 15 pull,Nov 17 legs,Nov 18 push,Nov 19 pull,Nov 21 legs,Nov 22 push,Nov 23 pull,Nov 24 legs,Nov 25 push,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bench,,,,,,,bench 115 5 reps,,,,,,bench 115 6 reps,,,bench 125 3-4 reps,,,,bench 125 3 reps,,,bench 125 4 reps,,,125 5 reps,,,125 6 4  reps,145 max 135 3 reps,,,135 2 reps,,,135 3 reps,,,135 for 2 + 125 for 5 125 for 4 reps,,,115 for 6 125 for 6 ,,,135 pause 1 rep 125 5 reps,,,135 3 2 reps 125 6 reps,,,135 4 3 3 reps,,,135 4 3 3 reps,,,135 5 4 4 reps,,,135 5 4 4 reps pinky in-between rings,,,135 4 3 3 reps,,,135 5 2 reps 125 5 reps,,,135 5 4 3 reps,,,135 6 4 5 reps,,,,140 4 4.5 2 reps,,140 5 5 reps 165 1 rep,,,140 6 3 reps 135 3 repd,,,160 1 rep 145 4 4 2 reps,,,50 db 5 reps 45 db 9 7 reps,,165 1 rep 150 4 2 reps,,,50 db 8 6 reps 45 reps,,,145 6 5 reps 150 3 reps,,,50 7 5 db 45 db,,,145 2 reps 135 4 reps,,,,,,,,,,,,,,,,,,,,,,,dips/bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoulder Press,,,,20 8 reps,,,20 11 reps,,,25 8 reps,,,25 6 reps,,,25 8 reps,,,,25 9-10 reps,,,25 12 reps 10 last ,,,30 8 reps,,,30 7 reps,,,,30 6 reps,,,30 5 reps,,,30 for 10 9 9,,,35 for 6 30 for 9 ,,,35 for 6 30 for 9 5,,,35 10 6 7 reps,,,35 7 5 5 reps,,,35 7 7 4 reps,,,35 8 6 4 reps,,,35 7 4 reps 30 ,,,35 6 reps 30 9 6 reps,,,35 7 5 reps 30 7 reps,,,35 9 8 5 reps,,,40 7 6 5 reps,,,,40 8 5 reps 35 5 reps,,40 6 5reps 35  8 repd,,,,,,40 8 6 reps,,,35 6 5 5 reps,,40 9 6 6 reps,,,40 5 reps 35 5 reps,,,40 8 6 7 reps,,,35 8 7 6 reps,,,,,,,,,,,,,,,,,,,,,,,,,,split squat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,machine db ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squat,,,165 6 reps,,,175 6 reps,,,185 9 reps,,,195 6 reps,,,215 5 reps,,,225 5 reps 3 sets / 3 reps last,,,,205 2 sets 5 reps (no belt + low bar),,,205 5 reps no belt high bar,,,225 7 5 3 reps,,,,205 6 reps,,,,,,225 3 reps 215 4reps 4 reps,,,,,,240 5 reps 235 4 3 rpes,,,235 8 7 2 reps,,,185 7 7 6 reps ass 2 grass,,,235 for 3 225 for 4 4,,,,,,235 6 5 reps,,,,,,240 6 6 3 reps,,,,,,275 1rm n other stuff,,,,,,,,240 6 4 reps 235 4 repsnobely,,,,,,,,,,,,225 7 6 4 reps belt,,,185 6 8 7 pause rep ,,,225 7 reps 240 5 reps,,,Bulgarians 35s 10 13 reps 40s 10 reps,,,,,,,,,,,,,,,,,,,,,,,,machine shoulder press?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fullbody with ppl focus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,Jan 6 upp,Jan 9 legs,Jan 10 up,Jan 14 legs,Jan 15 up,,Jan 17 legs,Jan 19 up,Jan 21 legs,Jan 24 upp,Jan 27 leg,Jan 28 up,Jan 30 legs(skip),Jan 31 up,Feb 1 legs,Feb 2 push delbrook,,Feb 4 legs,Feb 5 upp,Feb 6 legs,,Feb 8 up,Feb 9 legs,Feb 11 up,Feb 13 legs,Feb 14 upp,peb 15 leg,Peb 16 up,Peb 18 leg,Peb 20 up,Peb 21 legs,Peb 23 up,Peb 25 legs,Peb 27 uppe,Mar 1 leg,Mar 2 upp,Mar 4 legs,Mar 6 up,Mar 7 legs,Mar 9 upp,no leg,Mar 13 up,Mar 14 legs,Mar 16 up ,Mar 18 leg,Mar 19 chest back,Mar 20 bicep,Mar 22 legs,Mar 23 up,Mar 25 lega,Mar 26 up try 2 min rest,Mar 29 lega,Mar 30 upp,Apr 2 leg,Apr 3 up,Apr 4 legs,Apr 6 up,Apr 10 up,Apr 11 legs,Apr 13 up,Apr 15 legs,Apr 17 up,Apr 18 legs ,Apr 20 up,Apr 22 legs,Apr 23 up,Apr 25 genesis legs,Apr 27 up,Apr 29 legs,Apr 30 up,May 2 legs,May 3 up,May 5 back wvrec,May 6 legs,May 8 up,May 10 legs,May 12 push no tri,May 13 pull + tris,May 15 legs,May 17 push,May 19 pull,May 21 upp,May 24 legs at wv,May 25 up,May 28 legs,May 29 up ,May 31 leg,Jun 1 up,Jun 5 legs ,Jun 6 up,Jun 7 leg,Jun 10 up,Jun 12 up,Jun 13 legs,Jun 15 up,Jun 16 legs,Jun 20 up,Jun 21 leg,Jun 22 up ( incline db),Jun 25 legs,Jun 28 up,Jun 29 legs,Jun 30 up,Jul 3 legs yesterday hike ,Jul 4 up,Jul 5 legs ,Jul 6 up,Jul 8 leg,Jul 10 up,Jul 11 legs,Jul 12 up,Jul 14 legs,Jul 17 up,Jul 18 legs,Jul 20 up,Jul 24 legs,Jul 25 up,Jul 26 legs,Jul 29 legs at wv,Jul 30 up,Aug 1 legs and back,Aug 4 pull ,Aug 5 push,Aug 7 legs ,Aug 9 up,Aug 10 pull,Aug 15 wacko workout,Aug 17 pull at planet,Aug 19 upper,Aug 20 legs,Aug 22 pull ,Aug 23 push,Aug 26 upp,Aug 28 legs,Aug 29 pull,Aug 30 push,Sept 3 up (medyo sipon),Sept 5 leg day,Sep 6 pull,Sept 7 push,Sept 9 up,Sept 11 lega,Sept 13 pull,Sept 14 push,Sept 16 upper,sept 18 legs,sept 20 pull,Sep 22 push,Sept 23 upper,Sept 25 legs ,Sept 27 pull,sept 29 push,Oct 1 upper,Oct 3 legs,Oct 4 pull,Oct 7 push,Oct 8 upp,Oct 16 pull,Oct 18 push,Oct 20 legs,Oct 23 pull,Oct 25 push,Oct 28 legs,Oct 30 pull,nov 1 push,nov 3 leg,Nov 6 pull,Nov 9 push,Nov 11 leg,Nov 14 pull,Nov 16 push,Nov 18 legs,Nov 20 pull,Nov 22 push,Nov 25 leg,Nov 26 pull,Nov 28 push,Dec 1 legs,Dec 3 4fun arms,Dec 5 pull,Dec 7 push,Dec 9 legs,Dec 12 pull,Dec 14 push,Dec 16 legs,Dec 18 pull,Dec 21 push,Dec 27 pull after teeth ,Dec 29 push,Dec 31 leg
Bench or (slight incline db),,50 db 7 reps 40 9 reps,,50 6 reps 45 6 reps,,45 9 7 7 reps,,,145 4 2 reps 135 4 reps bench ,,50 5 5 reps 45 7 reps,,50 7 4 reps 45 7 reps,,50 8 4 4 reps,,bench 145 2 reps 135 2 reps 115 9 reps.,,,tuck elbows 50 7 6 3 reps slight pause atbottom,,,55 5 4 reps 50 6 5 repd,,55 5 4 repd 50 5 4 reps,,55 6 5 4 reps 50 5 reps,,55 6 3 4 3.5 reps,,55 6.5 4 3 3 reps,,55 6 4.5 4 2 reps,,55 7 4 reps 50 5 4 reps,,55 7 4 3.5 3.5 reps,,60 3 reps 55 6.5 3.5 4 reps,,60 4 reps 55 6 5 4 reps,,60 4.5 reps 55 7 5 3.5 reps,,60 4.5 reps 55 5 5.5 5 reps,,pause bench 135 5 4 reps touch 135 5 4,,,,,flat bench 60 4.5 4 reps 55 5 4 reps,,,,,,,60 4.5 4.5 3 reps,,145 6 5 5 reps ,,150 4 reps 145 5 5 reps,,150 5 3.5 reps 145 3 reps 135 5 reps,,155 4 2 reps 145 5 reps,,155 4 3 reps 145 5 4 reps,,155 4 2.5 reps 145 4 reps less rest,,60 6 3.5 reps 50 7 6.5 reps,,,155 3 reps 145 5 3,,154.5 7 4 reps 144.5 5 reps,,,155 6 4 reps 145 6 reps,,155 5 4 reps 145 4 reps,,155 4 2 reps 145 4 reps,,30 deg incline 50 7.5 6 5 reps,,fail 185 180 bench 135 8 reps,,55 6 5 4 reps don't go so far down ,,55 7 4.5 4 reps,150 4 4 4.5 bench,,55 7 5 4.5 reps,,55 7 6 5 3.5 reps,,55 7 6 5 reps,,55 6 6 3 reps,,145 7 6 4 r eps bench,,150 5 reps 145 7 7 reps,,150 7 4 reps 140 5 reps control weight ,,30 deg incline 50 7 6 5.5 4.5 repd,,150 7 4 4 reps,,50 8 7 4.5 5 reps,,35 deg 50 8 6 5.5 5 reps,,150 6 6 reps 145 5 reps,,,35 deg 55 6 5 4 reps,,,155 5 4 reps 135 7 reps,,30 deg db bench 55 6 5 reps 50 6 golighter ,,,,10 12 9 reps noweight 8 reps,,,,10 12 10 reps no weight 9,,,,10 8 reps noweight 10 8 reps,,,,30? deg incline DB press 50 10 5.5 reps 45 6 reps,,,,dbincline 50 7.5 7 reps 45 7 reps,,,,145 7 5 reps no leg drive 135 5 reps ,,,,140 8 6 last with legdrive 135 5 no drive reps,,,,145 6 reps 140 6 reps nodrive 135 5 reps,,155 5 4 reps 135 7 reps,,,after 135 7 5 4 larsen,,,30 deg db press 50 7 7 5 reps do slow eccentric ,,,155 5 3 reps 145 5 reps 135 4 reps,,,155 5 4 reps 135 6 reps,,,160 5 3 reps 145 7 4 reps,,,"160 5 reps 155 3 4 reps 135 5 Larsen, pause reps",,,,160 6 3 reps 145 4 reps 145 4 Larsen pause,,,160 5 3 reps 155 4 reps,,,160 5 reps 155 5 3:rep,,160 6 reps 140 5 135 6 larsen ,
Shoulder Press,,35 10 4 reps,,35 10 3 reps,,35 8 4 reps,,,40 6 reps 35 7 reps,,40 5 reps 35 7 reps,,35 6 5 reps,,35 6 5 reps,,35 10 8 reps,,,35 11 reps,,,40 7 6 reps,,35 9 7 repd ,,40 6 5.5 reps,,40 5 4 repd,,40 6 4 reps,,40 8 5 reps,,40 8 4 reps,,40 9 5 reps,,40 9.5 6.5 reps,,40 9 6 reps,,45 5.5 reps 40 6 reps,,45 7 reps 40 6 reps ,,45 6.5 reps 40 7.5 reps,,,,,45 5 4.5 reps,,,,,,45 5.5 reps 40 6 reps 75 deg,45 6.5 4 repd,,45 4.5 reps 40 5.5 reps,,45 6 4 reps,,45 6 5 reps,,45 7 4 reps,,,,45 7 3.5 reps,,45 6 5 reps,,,45 6 5.5 reps,,45 7 7 6 reps try not going down as far,,,45 5 4 reps,,40 6 5.5 reps,,42.5 4 reps,,45 6 3 reps,,,,"40 6 better form, don't go too far down, not perfect 90 deg bench",,,40 9 7 reps,,machine 60 10 7.5 reps,,65 6.5 reps 60 7 reps,,65 5reps 55 8 reps,,,,60 9 reps,,60 10 7 repd,,65 6 reps 60 6 reps,,65 8 6.5 reps,,65 8 reps,,65 8.5 6 reps,,65 10 7.5 repd,,70 8 reps 65 8 reps,,,70 7.5 6.5 reps,,,55 11 9 reps 50 9 reps,,,,,,,,,55 11 8.5 reps 50 7.5 reps,,,,55 13 9.5 reps 50 8.5 reps,,,,60 9 reps 55 9.5 reps 50 8.5 reps,,,,60 11 8.5 reps 55 9 reps,,,,60 7.5 repw 50 9 reps 40 14 reps,,,,60 9 reps 50 12 10 reps,,,,60 12 8.5 reps 50 8.5 reps,,,,60 13 9 reps 55 9.5 reps,,,65 13 8 reps 55 8 reps,,,70 10 rep 65 9 rep 60 9 reps,,,70 9 rep 60 10 7.5 reps slower eccentric ,,,70 9 reps 60 10 reps 55 9 reps,,,70 9 65 8 reps 55 10 reps,,,70 11 8 reps 65 6 reps do better eccentric ,,,,70 9 reps 65 7 60 9 reps better eccentric ,,,70 11 7.5 60 5.5reps,,,,,70 12 7.5 reps 60 7 reps
Squat,,,185 9 reps 205 6 5 reps 185 5 reps,,205 8 reps 215 5 4 reps,,,210 4 5 reps 205 4 3 repd,,210 6 5 reps 195 6 4 reps ,,215 5 4 reps 195 5 6 reps,,,,215 6 4 5 3 reps,,,220 5 3 reps pause 2 sec 195 5 reps,,225 5 5 3 reps 195 pause rep,,,225 5 5 5 5 reps ,,225 5 3.5 reps 215 4 4 nobelt,,225 6 4 3 3 reps,,230 4 reps 225 4 0 reps 185 4 reps,,225 5 6 4 3 reps ,,230 5.5 4 2 reps 225 5 reps,,235 4 4 4 4 reps,,235 5 5 3 reps 225 4 gooder reps,,"240 5 4 4 reps 235 3 reps form better, don't push butt out",,,,240 4 3 reps 235 4 reps 225 3 reps gooder depth,,245 5 reps 235 6 5 3 reps,,,250 4 4 3 reps 225 4 practice depth,,255 4 4 3 reps 245 3 repd depth,,255 5 5 3 reps 235 reps depth,,205 4 5 5 5 reps lighter for physio ,,225 5 5 5 reps,,,175 9.5 8.5 8.5 reps,,175 12 7.5 reps 170 8 reps,,180 8.5 reps 175 9 6.5 170 5.5 reps slower tempo,,180 10 8.5 7.5 reps 175 8.5 reps,,4 plates with resistance band 9 8 reps hacksquat,,180 9 6 reps,,,,,175 7 8.5 9.5 reps 5 hole lean bak,,180 13 11 reps,,,,,,,,,,,185 8 reps 180 9.5 8.5 8.5 reps,,,,185 10 8.5 8 reps 180 7.5 repz,,,,,185 12.5 10.5 7.5 reps 175 8 reps,,,,190 8.5 reps 185 8.5 reps 175 7.5reps,,,,,,,,190 5.5 reps 170 11.5 reps,,,,squat 185 7 reps extension 185 10 7.5 7 reps 180 reps,,,,185 9.5 8.5 reps 180 8.5 8 reps,,,,,,,,55 10 9 reps,,,,,,60 8 6 reps,,,,60 8 7reps,,,,,,,,55 10 5 reps,,,,270 12 310 5 290 6 270 some repsleg press ,,,,,,,,,,,,,,set to 1 280 9 13 reps 300 4 reps,,,290 7 7 8 reps,,,300 6 280 8 reps slower eccentric!!,,,280 12 reps 290 8 5 reps,,,300 11 not good eccentric reps 300 4.5 reps 280 5 reps,,,leg ext,,,"bulgarian 50 12 7 6 reps close, lean forward try straighter up ",,,,55 10 10 reps,,,leg press 300 6 reps 280 8 8 reps,,,,,press 290 9 9 9 reps
2024,,Jan 2 pull,Jan 4 push,Jan 6 legs,Jan 8 pull,Jan 10 push,Jan 13 legs,Jan 15 pull,Jan 17 push,Jan 21 leg,Jan 23 pull ,Jan 25 push,Jan 27 leg after ski day dead headphones,Jan 29 pull,Jan 31 push,Feb 3 leg,Feb 5 pull,Feb 7 push,Feb 9 leg,Feb 12 pull,Feb 15 push @wv,Feb 18 leg,Feb 21 pull sick,Feb 23 push littlesick,Feb 25 hungry leg ,Feb 27 pull,Feb 29 push,Mar 2 leg,Mar 4 wv pull,Mar 6 push,Mar 9 legs,Mar 12 pull,Mar 14 push,Mar 16 legs,Mar 19 pull,Mar 21 quick push,Mar 23 legs,Mar 30 pull,Mar 31 push no rest between ,,Apr 2 Leg,Apr 4 Pull wv ,Apr 6 push,Apr 7 legs,Apr 8 pull ,Apr 10 push,Apr 14 legs,Apr 16 pull ,Apr 18 push,Apr 20 legs,Apr 22 push? wv,Apr 24 pull?,Apr 27 legs,Apr 30 pull wv,May 2 push,May 4 legs,May 6 pull,May 8 push,May 11 legs ,May 13 pull,May 16 push,May 18 legs,May 20 pull,May 22 push,May 26 pull cant legs cuz hike,May 27 try again pull ,May 29 push,May 31 legs,Jun 2! pull,Jun 5 push,Jun 8 legs,Jun 10 pull,Jun 12 push,Jun 16 legs,Jun 18 push oops,Jun 20 leg genesis,Jun 23 pull,Jun 25 push,Jun 29 push delbrook,Jun 30 legs,Jul 2 pull,Jul 4 push after 12hr hike,Jul 4 legs,Jul 9 all quick cause hike after,Jul 11 push,Jul 12 pull,Jul 13 push delbrook,Jul 15 legs delbrook,Jul 16 pull ,Jul 17 push,Jul 18 legs delbrook,Jul 19 push,Jul 22 leg so headache,Jul 23 push,Jul 24 pull,"Jul 26 legs 160 8?5 headache again, deload 105 ",,pull jul 28 delbrook,Jul 29 legs,sep 21 pul delbrook,sep 23 push,Sep 27 leg,Sep 28 pull,Sep 30 push,Oct 3 legs delbrook,Oct 4 pull,Oct 6 push,Oct 9 legs,Oct 12 pull ,Oct 15 push,Oct 18 legs brook,Oct 19 push,Oct 20 pull,Oct 25 legs,Oct 26 push,Oct 28 pull,haloween,Nov 2 pull,Nov 6 push,Nov 8 legs,Nov 9 pull,Nov 11 push,Nov 17 legs,Nov 20 pull,Nov 22 push,Nov 24 legs,nov 29 push,Dec 1 pul,Dec 3 brokk,Dec 7 push,Dec 9 pull,Dec 11 legs,Dec 13 pull,Dec 14 push,Dec 15 legs delbrok,Dec 17 push brook,Dec 19 pull brook,Dec 20 brook push,Dec 21 legs,Dec 22 pull,Dec 23 Ed house ,Dec 25 legs,Dex 27 push,Dec 28 pull,Dec 30 legs,Dec 31 pull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bench,,,160 6 5 reps 145 4 larsen,,,165 4 reps 160 4 reps 145 6 5 reps,,,165 3 reps 155 5 reps 145 4 reps 135 7 reps,,,flat db bench 55 11 8.5 5 reps 50 6 reps,,,flat db 55 12 9 6reps 50 6 reps,,,60 8 55 8 7 50 6 reps,,,60 10 7 55 6 reps 50 8 reps,,,60 6 7 55 9 6 repe,,,60 9 6 55 9 6.5 reps,,,60 9 6 55 9.5 9.5 reps,,,bench 160 4 155 4 135 10 5,,,db 55 11 8 6 6,,,125 2.5 115 6 95 8 5 reps,,,,105 7 8 5 95 8 reps,,,105 8 7 5 reps 95 5 try suicide grip,,,105 6 5 95 6 5.5 all suicide grip,,95 15 14 better alignment-> 6 75 10 Smith incline | assume bar 25 ,,,,115 5 95 8 6 5.5 reps,,,105 10 7 5 95 5 30 deg ,,,105 10 7 95 7 6.5 reps,,,105 9 8 95 7 7 reps,,,105 11 8 95 7 7 reps,,,105 9 8 100 7 6 reps,,,15 12 9.5 9 dips,,105 11 10 6 95 9 reps,,,115 9 8 6 95 7.5reps,155 7.5 4 135 6 reps,,,155 3 :( 135 9 7 reps,,,155 5 135 10 reps do incline ,,155 7 7 135 8.5reps,,,160 5 3 140 7 reps,,165 5.5 4 135 8? Larsen reps,,1901rm!!! 135 reps,,,,,,,55 8 50 8 5 reps,,,50 11? 8 5 6 reps,,,55 9 8 50 7 reps longer rest,,,55 8.5 6 50 7 reps,,55 9 7 5 reps,,,55 9 6.5 flat 7 3.4 reps,,,,flat 60 8 5 55 5 reps,,,flat 60 10 6 55 5 longerrest,,,flat 60 8 6 55 8,,incline 30deg 50 10.5 7.5 5.5 45 5.5,,,55 11 7 6 4 reps,,,,incline 30deg 115 8 6 105 7 5.5,,flat bench 155 7.5 5? 135 sum 115 7,,db bench 55 11 10 8 50 9 reps,,,bench 155 6 5.5 5 135 6 reps,,incline bench 35s 17 45s 7 40s 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shoulder Press,,,,75 8 reps 70 7.5 60 10 reps,,,75 9 reps 70 8 reps 65 6.5reps,,,75 10 reps 70 6.5 65 8 reps,,,db 40 11 8 5 reps,,,75 10.5 70 7 65 7.5reps,,,,,,80 7 7 70 7 rep,,,80 7 70 7 some rep,,,80 8 70 8.5 60 8 reps,,,80 10 6 70 6.5 reps,,,rip machine seated db 40 11 8 6.5 reps,,,seated db 40 11 7 6,,,,40 11.5 7.5 5 reps,,,40 8 7.5 5.5 repe,,,40 9 7 6 reps,,,40 9.5 7 5.5 reps,,,40 9.5 8 6 reps,,,40 10 7 6 reps,,,40 10.5 8 7 reps,,,40 12 7 reps,,,,,,40 12 9 6.5 reps,,,40 13 7.5 7 reps,,,45 9 7.5 40 reps,,,,,,185 8 reps go more ,,,225 7 5 4 reps,,,,,leg press 3 plate plus 10 18 3 plate plus 35 10,,,legpress 4 plate 13 10 8,,leg press 2 plate plus 35 and 25 sum 10 7,,,ext 160 9.5,,,240 5 4 3 reps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
